Search Name,Band Name,URL,Match Type
Dornufauglith,No match found,,none
Dorthonion,No match found,,none
Dorwinion,No match found,,none
Dowis,No match found,,none
Downlands,No match found,,none
Dradan,No match found,,none
Dragonfire,Dragonfire (a.k.a. Dragon Fire) ,https://www.metal-archives.com/bands/Dragonfire/8701,exact
Dragonfire,Dragonfire (a.k.a. DragonFire) ,https://www.metal-archives.com/bands/Dragonfire/3540539958,exact
Dragonhelm,No match found,,none
Draugluin,Draugluin  ,https://www.metal-archives.com/bands/Draugluin/48413,exact
Draugluin,Draugluin  ,https://www.metal-archives.com/bands/Draugluin/79945,exact
Dreamdinners,No match found,,none
Dreamflower,No match found,,none
Drengist,No match found,,none
Drogo,No match found,,none
Duath,Duath  ,https://www.metal-archives.com/bands/Duath/3540350654,exact
Duath,Aran Duath  ,https://www.metal-archives.com/bands/Aran_Duath/3540549817,exact
Duath,Ephel Duath (a.k.a. Ephel Dvath) ,https://www.metal-archives.com/bands/Ephel_Duath/1320,exact
Duilin,No match found,,none
Duilwen,No match found,,none
Duinath,Taur-im-Duinath  ,https://www.metal-archives.com/bands/Taur-im-Duinath/3540411268,exact
Duinhir,No match found,,none
Dunadan,No match found,,none
Dunedain,Dünedain  ,https://www.metal-archives.com/bands/D%C3%BCnedain/52352,exact
Dungartheb,No match found,,none
